nohup: ignoring input
Coordinator listening on 3000
::ffff:127.0.0.1 - - [28/Nov/2025:13:24:18 +0000] "GET /locks HTTP/1.1" 200 2 "-" "curl/8.5.0"
::ffff:127.0.0.1 - - [28/Nov/2025:13:24:27 +0000] "POST /lock/acquire HTTP/1.1" 200 12 "-" "python-requests/2.31.0"
::ffff:127.0.0.1 - - [28/Nov/2025:13:24:27 +0000] "POST /lock/acquire HTTP/1.1" 409 18 "-" "python-requests/2.31.0"
::ffff:127.0.0.1 - - [28/Nov/2025:13:24:27 +0000] "POST /lock/acquire HTTP/1.1" 409 18 "-" "python-requests/2.31.0"
::ffff:127.0.0.1 - - [28/Nov/2025:13:24:27 +0000] "POST /lock/acquire HTTP/1.1" 409 18 "-" "python-requests/2.31.0"
::ffff:127.0.0.1 - - [28/Nov/2025:13:24:27 +0000] "POST /lock/acquire HTTP/1.1" 409 18 "-" "python-requests/2.31.0"
::ffff:127.0.0.1 - - [28/Nov/2025:13:24:27 +0000] "POST /lock/acquire HTTP/1.1" 409 18 "-" "python-requests/2.31.0"
::ffff:127.0.0.1 - - [28/Nov/2025:13:24:27 +0000] "POST /lock/acquire HTTP/1.1" 409 18 "-" "python-requests/2.31.0"
::ffff:127.0.0.1 - - [28/Nov/2025:13:24:27 +0000] "POST /lock/acquire HTTP/1.1" 409 18 "-" "python-requests/2.31.0"
::ffff:127.0.0.1 - - [28/Nov/2025:13:24:27 +0000] "POST /lock/acquire HTTP/1.1" 409 18 "-" "python-requests/2.31.0"
::ffff:127.0.0.1 - - [28/Nov/2025:13:24:27 +0000] "POST /lock/acquire HTTP/1.1" 409 18 "-" "python-requests/2.31.0"
::ffff:127.0.0.1 - - [28/Nov/2025:13:24:27 +0000] "POST /lock/acquire HTTP/1.1" 409 18 "-" "python-requests/2.31.0"
::ffff:127.0.0.1 - - [28/Nov/2025:13:24:27 +0000] "POST /lock/acquire HTTP/1.1" 409 18 "-" "python-requests/2.31.0"
::ffff:127.0.0.1 - - [28/Nov/2025:13:24:27 +0000] "POST /lock/acquire HTTP/1.1" 409 18 "-" "python-requests/2.31.0"
::ffff:127.0.0.1 - - [28/Nov/2025:13:24:27 +0000] "POST /lock/acquire HTTP/1.1" 409 18 "-" "python-requests/2.31.0"
::ffff:127.0.0.1 - - [28/Nov/2025:13:24:27 +0000] "POST /lock/acquire HTTP/1.1" 409 18 "-" "python-requests/2.31.0"
::ffff:127.0.0.1 - - [28/Nov/2025:13:24:27 +0000] "POST /lock/acquire HTTP/1.1" 409 18 "-" "python-requests/2.31.0"
